,unique_label,label,centroid-0,centroid-1,area,perimeter,equivalent_diameter,eccentricity,convex_area,mean_intensity-All,mean_intensity-R,mean_intensity-G,mean_intensity-B
0,_1,1,330.24675324675326,1065.6168831168832,308.0,63.11269837220809,19.802974013476614,0.18081781319746115,318.0,179.19805194805195,210.22727272727272,168.91233766233765,158.45454545454547
1,_2,2,409.7078601146969,889.6509614303385,8893.0,350.7766952966369,106.40920670378951,0.2972038462473236,8998.0,220.6655047040743,237.83526369054312,213.91836275722477,210.2428876644552
2,_3,3,425.2744104642594,637.0287398673545,10856.0,736.4650788387053,117.56822911673427,0.3660896677059017,13567.0,134.90395480225988,164.59579955784818,127.92133382461311,112.19473102431834
3,_4,4,477.5591054313099,1329.5015974440894,2191.0,173.92388155425118,52.8173062784798,0.29598128987683836,2238.0,161.93838429940666,198.99954358740302,149.62665449566407,137.1889548151529
4,_5,5,639.9436860068259,1220.6296928327645,586.0,87.84062043356595,27.315167457198672,0.259739646074302,602.0,138.57167235494882,228.46385542168676,179.76104417670683,159.06425702811245
5,_6,6,711.358574610245,786.9844097995546,449.0,77.01219330881975,23.90992587997897,0.3787170001271256,463.0,143.64142538975503,222.04872389791183,171.92111368909514,151.4199535962877
6,_7,7,953.096013140212,601.428848738241,6697.0,304.73506473629425,92.3411350974818,0.10208290533224695,6786.0,176.54865362600168,207.59776951672862,144.24188351920694,123.61288723667906
7,_8,8,943.0,1441.5,108.0,37.798989873223334,11.726460285670077,0.4459416759573346,116.0,126.76543209876542,167.03412969283278,128.55631399317406,120.12457337883959
8,_9,9,971.0238836967809,1564.2128764278298,1926.0,165.19595949289334,49.52029243815028,0.23184769419011902,1977.0,143.93042575285565,153.36604645506506,133.51343791803478,125.42587863310227
9,_10,10,976.4986666666666,801.6684444444444,1125.0,125.29646455628165,37.8469878303024,0.15576292847885326,1161.0,127.30607407407406,215.48466566113626,142.7209653092006,116.39617898441428
10,_11,11,969.0,1479.0,81.0,32.970562748477136,10.155412503859614,0.0,89.0,132.83127572016463,179.93763919821825,131.6347438752784,119.35189309576838
11,_12,12,1001.9284994964753,1415.3595166163143,993.0,117.9827560572969,35.55737431141417,0.42160912875637224,1021.0,130.70426317556226,172.2255908331344,130.40689902124612,118.71568393411316
12,_13,13,1123.8751357220413,1280.3006049325268,6447.0,324.6761902332486,90.60118842988537,0.43543995576105027,6619.0,119.3782120883098,109.04865334491747,112.14161598609904,119.30147697654213
13,_14,14,1260.912188099808,1019.3210172744722,2084.0,183.23759005323592,51.51146679359926,0.13114293189046017,2194.0,47.196097248880356,225.9810362849037,161.06943407495893,142.59549051814244
14,_15,15,1253.1678082191781,821.0410958904109,292.0,62.52691193458118,19.281751659604673,0.4621632580302753,304.0,145.21803652968035,111.78577235772357,114.01544715447154,120.75325203252032
15,_16,16,1629.5,1327.5,200.0,50.62741699796952,15.957691216057308,0.0,208.0,174.33166666666668,162.80555555555554,116.14814814814815,101.3425925925926
