,unique_label,label,centroid-0,centroid-1,area,perimeter,equivalent_diameter,eccentricity,convex_area,mean_intensity-R,mean_intensity-G,mean_intensity-B,cluster_n
0,_1,1,330.08359133126936,1065.4551083591332,323.0,64.5269119345812,20.279456919490165,0.3126019297857502,332.0,206.06501547987617,165.8235294117647,155.87306501547988,3
1,_2,2,410.0740578439965,889.6775854513585,9128.0,355.1198410471445,107.80598575377235,0.29872689565035276,9223.0,234.8318361086766,210.98575810692375,207.29951796669587,2
2,_3,3,426.8864752392842,637.4486059092801,12015.0,715.0092347159895,123.68497536076474,0.3948079273144584,14413.0,161.18010819808572,125.82638368705784,110.84228048272992,1
3,_4,4,477.71206225680936,1329.4690877648077,2313.0,177.6812408671319,54.26788246258031,0.3085100458128945,2354.0,194.9533073929961,147.00172935581497,135.03199308257675,3
4,_5,5,465.96096654275095,1166.4776951672864,538.0,86.66904755831214,26.17255958188877,0.5238093875546028,562.0,221.30669144981414,173.5910780669145,154.17843866171003,3
5,_6,6,506.2845188284519,1219.6297071129707,478.0,81.94112549695427,24.669991941291908,0.645002282311001,497.0,212.8744769874477,164.32426778242677,145.5020920502092,3
6,_7,7,567.7028978034443,620.5988450036093,9697.0,396.71782079359116,111.11527287145036,0.23975803477798133,9871.0,160.63782613179333,86.29545220171187,46.21357120758998,1
7,_8,8,649.3660341329514,1398.0237498508175,8379.0,347.3624817342638,103.28830594668464,0.5121884575320541,8501.0,204.53825038787446,142.51306838524883,122.37701396348012,1
8,_9,9,639.8575498575499,1220.5398860398861,702.0,96.66904755831214,29.896724911001275,0.14792645746140026,721.0,159.86324786324786,123.54985754985755,115.64957264957265,0
9,_10,10,717.2958572796935,1688.9115181992338,16704.0,553.1269837220809,145.83618671391596,0.5683457641973566,17392.0,152.89080459770116,132.9488745210728,124.79657567049809,1
10,_11,11,720.7815326035221,1386.9490718705379,2101.0,171.4386001800126,51.72113961900469,0.5700879650952703,2142.0,210.68871965730605,140.16896715849595,114.81818181818181,3
11,_12,12,711.3485401459855,787.2609489051094,548.0,86.66904755831214,26.414679072721462,0.26094166169637284,566.0,170.38138686131387,125.40693430656934,114.07846715328468,0
12,_13,13,853.8659613804438,1529.195152013147,9736.0,408.6173157302028,111.33849382644595,0.5785660828636908,10119.0,165.65499178307314,126.16731717337716,115.11996713229252,1
13,_14,14,953.2158054711247,601.347662469243,6909.0,310.14927829866735,93.79132163785326,0.0973014639343556,6999.0,222.84715588363005,159.0574612823853,140.98986828774062,2
14,_15,15,971.2343900096062,1563.8981748318924,2082.0,167.53910524340094,51.48674326599624,0.1923869264585701,2117.0,174.35446685878964,108.87713310580205,94.35153583617748,0
15,_16,16,976.6457065584855,801.7768762677484,1479.0,144.36753236814712,43.394945404543435,0.11518810397338072,1520.0,150.5557809330629,130.71902017291066,118.06676272814602,0
16,_17,17,968.6384615384616,1479.123076923077,130.0,41.21320343559643,12.865501965161373,0.36318448955507293,138.0,155.0,110.72008113590263,103.19878296146045,0
17,_18,18,999.3015988372093,1415.1875,1376.0,136.71067811865476,41.85663165563593,0.2073180534852997,1407.0,153.2768895348837,114.46923076923076,100.06923076923077,0
18,_19,19,1126.1703331811957,1280.897581013236,10955.0,431.68838354206827,118.10308722710727,0.4352840101686016,11324.0,141.35052487448652,113.96729651162791,103.72311046511628,1
19,_20,20,1143.9172533179458,760.9690709751875,8665.0,378.3746750430835,105.03628256526497,0.49775075014418346,8898.0,141.5402192729371,102.9738931994523,93.41725239616613,1
20,_21,21,1258.259757415636,305.9981986309595,8327.0,407.88939366884495,102.96730398048548,0.7125766205640998,9101.0,206.93731235739162,103.09671090594345,94.40438545874207,1
21,_22,22,1253.3720930232557,820.9127906976744,344.0,67.11269837220809,20.928315827817965,0.4165435624433303,355.0,171.17732558139534,161.02461871021976,145.73159601296985,3
22,_23,23,1629.3595041322315,1327.6404958677685,242.0,55.698484809834994,17.55346033766304,0.2646156679186205,250.0,196.29338842975207,17.939514599924156,16.17083807356845,4
